_id,BankAccount,Currency,CurrencyAmount,NumberOfItems,BoughtOrSold,ShopOwner,Buyer,Seller,WorldObjectItem,ItemUsed,Citizen,ActionLocation,Count,Time
"67e9c698daf4e101ebeab85d",484070,112783,30.0,1.0,18,1664,484062,1664,"StoreItem","BasicBackpackItem",484062,"788,71,722",1.0,198875
"67e9c69bdaf4e101ebeab8ab",482750,112783,160.0,200.0,19,362207,362207,482742,"StoreItem","WheatItem",482742,"1423,71,108",2.0,198877
"67e9c6abdaf4e101ebeab9b8",111764,112783,189.0,135.0,18,481706,111758,481706,"StoreItem","HewnLogItem",111758,"1506,71,1582",9.0,200711
"67e9c6b2daf4e101ebeaba16",457455,112783,25.0,10.0,18,552247,362199,552247,"StoreItem","CampfireRoastItem",362199,"300,66,498",5.0,199947
"67e9c6f6daf4e101ebeabf11",481716,112783,29.399999619,588.0,19,111758,111758,481706,"StoreItem","WoodPulpItem",481706,"1448,71,67",3.0,201121
"67e9c724daf4e101ebeac190",791896,112783,28.0,1.0,18,507824,791888,507824,"StoreItem","HewnDresserItem",791888,"585,70,643",1.0,199015
"67e9c792daf4e101ebeac894",483922,112783,60.0,1.0,18,362211,483914,362211,"StoreItem","MortaredStoneFireplaceItem",483914,"1418,72,73",4.0,201007
"67e9c7b7daf4e101ebeacb4d",865726,112783,30.0,10.0,18,1786104,865718,1786104,"StoreItem","CampfireRoastItem",865718,"1201,76,511",2.0,199162
"67e9c817daf4e101ebead1a8",483745,112783,3.0,15.0,19,1664,1664,483737,"StoreItem","AdobeItem",483737,"771,71,776",3.0,199582
"67e9c8cbdaf4e101ebeadf83",1603840,112783,400.0,1.0,18,362211,1603828,362211,"StoreItem","BasicEngineeringSkillScroll",1603828,"818,71,771",12.0,201417
"67e9c8cedaf4e101ebeadfd2",494434,112783,270.0,9.0,19,111758,111758,494426,"StoreItem","HewnNightstandItem",494426,"1461,71,1577",5.0,199701
"67e9c924daf4e101ebeae5ee",483892,112783,5.0,5.0,19,362207,362207,483887,"StoreItem","TomatoItem",483887,"1423,71,108",4.0,200019
"67e9c933daf4e101ebeae710",492930,112783,400.0,1.0,18,362211,479806,362211,"StoreItem","BasicEngineeringSkillScroll",479806,"818,71,771",1.0,199542
